time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
313146153,-12,11,1002,-288,411,516,idle
313154697,-13,10,1002,-192,455,516,idle
313163034,-13,10,1002,-218,472,551,idle
313163567,-11,11,1001,-218,472,551,idle
313171587,-11,11,1001,-227,411,560,idle
313172120,-12,11,1001,-227,411,560,idle
313180140,-12,11,1001,-210,428,551,idle
313180674,-12,11,1002,-210,428,551,idle
313188693,-12,11,1002,-236,428,507,idle
313189226,-12,11,1003,-236,428,507,idle
313197247,-12,11,1005,-227,411,463,idle
313201426,-12,11,1005,-227,411,463,idle
313205799,-12,10,1002,-218,367,463,idle
313214344,-13,10,1000,-210,376,428,idle
313222889,-12,12,999,-201,358,428,idle
313231433,-13,11,1002,-253,358,446,idle
313239978,-12,11,1004,-210,376,446,idle
313248314,-12,11,1004,-236,411,411,idle
313248847,-12,10,1003,-236,411,411,idle
313256868,-12,10,1003,-201,428,446,idle
313257401,-12,12,1002,-201,428,446,idle
313265423,-12,12,1002,-245,420,446,idle
313265956,-12,13,1002,-245,420,446,idle
313273975,-12,13,1002,-227,420,420,idle
313274508,-13,11,1001,-227,420,420,idle
313282527,-13,12,1002,-218,428,428,idle
313291072,-12,11,1003,-183,411,437,idle
313299616,-12,11,1001,-218,411,463,idle
313302547,-12,11,1001,-218,411,463,idle
313308168,-12,12,1003,-175,367,481,idle
313316712,-12,12,1003,-201,350,498,idle
313325256,-12,11,1003,-253,358,568,idle
313333801,-13,10,1001,-245,385,603,idle
313342137,-13,10,1001,-236,358,691,idle
313342670,-12,10,1001,-236,358,691,idle
313350691,-12,10,1001,-236,341,796,idle
313351224,-13,11,1003,-236,341,796,idle
313359245,-13,11,1003,-166,411,866,idle
313359778,-12,12,1003,-166,411,866,idle
313367797,-12,12,1003,-227,358,953,idle
313368330,-11,12,1003,-227,358,953,idle
313376351,-10,12,1002,-218,411,813,idle
313384895,-11,12,1000,-227,420,682,idle
313393440,-12,11,1002,-175,428,612,idle
313401985,-13,13,1003,-201,490,568,idle
313403461,-13,13,1003,-201,490,568,idle
313410538,-13,10,1001,-253,402,542,idle
313419082,-13,12,1002,-253,367,472,idle
313427627,-12,12,1001,-271,402,463,idle
313435964,-12,12,1001,-253,393,490,idle
313436497,-12,11,1002,-253,393,490,idle
313444518,-12,11,1002,-271,306,516,idle
313445051,-12,12,1003,-271,306,516,idle
313453071,-12,12,1003,-315,350,533,idle
313453604,-12,11,1003,-315,350,533,idle
313461623,-12,11,1003,-288,367,612,idle
313462156,-12,11,1002,-288,367,612,idle
313470177,-13,10,1002,-253,323,708,idle
313478721,-12,11,1003,-253,323,857,idle
313487266,-13,10,1004,-236,437,770,idle
313495811,-12,11,1002,-192,393,778,idle
313504355,-12,11,1003,-271,367,673,idle
313512900,-12,12,1001,-253,428,673,idle
313521445,-11,11,1001,-192,385,621,idle
313529989,-13,10,1000,-210,358,612,idle
313538533,-13,12,1004,-253,358,577,idle
313546869,-13,12,1004,-253,376,647,idle
