# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
313146153,-12,11,1002,-288,411,516
313154697,-13,10,1002,-192,455,516
313163034,-13,10,1002,-218,472,551
313163567,-11,11,1001,-218,472,551
313171587,-11,11,1001,-227,411,560
313172120,-12,11,1001,-227,411,560
313180140,-12,11,1001,-210,428,551
313180674,-12,11,1002,-210,428,551
313188693,-12,11,1002,-236,428,507
313189226,-12,11,1003,-236,428,507
313197247,-12,11,1005,-227,411,463
313201426,-12,11,1005,-227,411,463
313205799,-12,10,1002,-218,367,463
313214344,-13,10,1000,-210,376,428
313222889,-12,12,999,-201,358,428
313231433,-13,11,1002,-253,358,446
313239978,-12,11,1004,-210,376,446
313248314,-12,11,1004,-236,411,411
313248847,-12,10,1003,-236,411,411
313256868,-12,10,1003,-201,428,446
313257401,-12,12,1002,-201,428,446
313265423,-12,12,1002,-245,420,446
313265956,-12,13,1002,-245,420,446
313273975,-12,13,1002,-227,420,420
313274508,-13,11,1001,-227,420,420
313282527,-13,12,1002,-218,428,428
313291072,-12,11,1003,-183,411,437
313299616,-12,11,1001,-218,411,463
313302547,-12,11,1001,-218,411,463
313308168,-12,12,1003,-175,367,481
313316712,-12,12,1003,-201,350,498
313325256,-12,11,1003,-253,358,568
313333801,-13,10,1001,-245,385,603
313342137,-13,10,1001,-236,358,691
313342670,-12,10,1001,-236,358,691
313350691,-12,10,1001,-236,341,796
313351224,-13,11,1003,-236,341,796
313359245,-13,11,1003,-166,411,866
313359778,-12,12,1003,-166,411,866
313367797,-12,12,1003,-227,358,953
313368330,-11,12,1003,-227,358,953
313376351,-10,12,1002,-218,411,813
313384895,-11,12,1000,-227,420,682
313393440,-12,11,1002,-175,428,612
313401985,-13,13,1003,-201,490,568
313403461,-13,13,1003,-201,490,568
313410538,-13,10,1001,-253,402,542
313419082,-13,12,1002,-253,367,472
313427627,-12,12,1001,-271,402,463
313435964,-12,12,1001,-253,393,490
313436497,-12,11,1002,-253,393,490
313444518,-12,11,1002,-271,306,516
313445051,-12,12,1003,-271,306,516
313453071,-12,12,1003,-315,350,533
313453604,-12,11,1003,-315,350,533
313461623,-12,11,1003,-288,367,612
313462156,-12,11,1002,-288,367,612
313470177,-13,10,1002,-253,323,708
313478721,-12,11,1003,-253,323,857
313487266,-13,10,1004,-236,437,770
313495811,-12,11,1002,-192,393,778
313504355,-12,11,1003,-271,367,673
313512900,-12,12,1001,-253,428,673
313521445,-11,11,1001,-192,385,621
313529989,-13,10,1000,-210,358,612
313538533,-13,12,1004,-253,358,577
313546869,-13,12,1004,-253,376,647
313547402,-14,12,1002,-253,376,647
313555424,-14,12,1002,-306,341,813
313555957,-14,10,1000,-306,341,813
313563978,-14,10,1000,-218,323,1050
313564511,-13,8,1000,-218,323,1050
313572532,-13,8,1000,-218,341,1277
313573065,-12,9,1002,-218,341,1277
313581086,-13,11,1003,-253,341,1478
313589630,-12,15,1004,-218,376,1233
313598175,-12,12,1002,-227,385,1058
313605472,-12,12,1002,-227,385,1058
313606727,-12,11,1001,-262,393,997
313615272,-12,9,1001,-253,376,1023
313623817,-12,12,1002,-218,385,971
313632153,-12,12,1002,-183,402,945
313632686,-12,13,1003,-183,402,945
313640707,-12,13,1003,-166,420,892
313641240,-12,11,1002,-166,420,892
313649262,-12,11,1002,-201,437,840
313649795,-11,12,1002,-201,437,840
313657815,-11,12,1002,-236,367,770
313658348,-11,11,1002,-236,367,770
313666369,-12,12,1001,-218,393,735
313674913,-13,12,1003,-245,428,770
313683457,-12,11,1002,-201,358,761
313692001,-12,9,1002,-183,411,778
