# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
282084586,-18,-108,1112,-1400,-5932,175
282093129,-23,-115,1105,997,-4112,-43
282101674,-30,-119,1094,3500,-2458,-157
282110218,-34,-119,1086,5250,-918,-525
282118763,-42,-119,1068,6851,472,-1286
282127307,-47,-125,1054,8531,1618,-2161
282135644,-47,-125,1054,9747,2703,-2852
282136177,-46,-141,1045,9747,2703,-2852
282144198,-46,-141,1045,8767,3885,-2992
282144731,-39,-143,1045,8767,3885,-2992
282152750,-39,-143,1045,6273,6545,-2756
282153283,-54,-104,1024,6273,6545,-2756
282161304,-54,-104,1024,1653,5643,-6405
282161837,-90,-71,993,1653,5643,-6405
282169858,-80,-81,984,-7087,3290,-10036
282178402,-60,-134,970,-13518,866,-11558
282186946,-48,-182,971,-14708,-490,-10710
282194451,-48,-182,971,-14708,-490,-10710
282195499,-47,-214,967,-12503,-1408,-8846
282204043,-35,-245,976,-9222,-1767,-5845
282212380,-35,-245,976,-5022,-726,-1820
282212913,-26,-271,972,-5022,-726,-1820
282220933,-26,-271,972,-1207,455,2546
282221467,-33,-264,957,-1207,455,2546
282229488,-33,-264,957,113,717,5425
282230021,-48,-221,936,113,717,5425
282238042,-61,-186,916,586,-621,6081
282246587,-56,-157,924,2091,-2248,5932
282255132,-56,-132,950,4007,-3132,5670
282263676,-54,-108,981,5775,-2835,4838
282272220,-53,-105,1010,6046,-1540,3762
282280764,-48,-131,1019,5460,26,4261
282289100,-48,-131,1019,7061,2047,6641
282289633,-39,-164,1023,7061,2047,6641
282295368,-39,-164,1023,7061,2047,6641
282297663,-39,-164,1023,9240,4970,10543
282298196,-35,-175,1009,9240,4970,10543
282306217,-35,-175,1009,9546,6772,15032
282306750,-42,-159,971,9546,6772,15032
282314771,-52,-148,929,8408,6011,19197
282323316,-45,-149,898,8260,3640,23563
282331861,-46,-121,888,9940,700,27825
282340405,-60,-74,903,11103,-2161,30808
282348949,-73,-15,940,8732,-4733,32165
282357493,-91,21,973,3482,-6168,31666
282366037,-96,28,981,-2493,-6273,29977
282374373,-96,28,981,-7008,-6116,28647
282374906,-84,8,983,-7008,-6116,28647
282382927,-84,8,983,-9257,-5818,28770
282383461,-70,-18,999,-9257,-5818,28770
282391481,-70,-18,999,-9695,-4016,29793
282392014,-64,-22,1024,-9695,-4016,29793
282396501,-64,-22,1024,-9695,-4016,29793
282400043,-64,-22,1024,-10071,-831,30493
282400577,-68,-11,1023,-10071,-831,30493
282408598,-63,-33,976,-9301,1767,31071
282417142,-52,-68,925,-5118,2073,32935
282425687,-48,-75,913,-770,770,35988
282434231,-57,-51,926,-463,-997,39261
282442775,-72,-11,944,-3517,-2773,41737
282451111,-72,-11,944,-8531,-4042,42647
282451645,-87,27,966,-8531,-4042,42647
282459664,-87,27,966,-14148,-4497,41991
282460197,-99,47,974,-14148,-4497,41991
282468218,-99,47,974,-17613,-4602,40713
282468752,-102,50,959,-17613,-4602,40713
282476773,-102,50,959,-18235,-4847,38858
282477306,-95,72,928,-18235,-4847,38858
282485326,-101,98,893,-16590,-6361,35857
282493871,-110,116,884,-13142,-9266,31482
282497426,-110,116,884,-13142,-9266,31482
282502423,-109,114,896,-8365,-12022,25943
282510968,-95,77,929,-3010,-13650,20693
282519305,-95,77,929,2423,-13956,16240
282519838,-92,19,968,2423,-13956,16240
282527857,-92,19,968,6335,-12713,12915
282528390,-82,-44,1012,6335,-12713,12915
282536410,-82,-44,1012,6685,-10692,11760
282536943,-65,-109,1035,6685,-10692,11760
282544964,-44,-159,1053,5145,-8365,13186
282553508,-33,-190,1060,2301,-5687,16222
282562053,-22,-199,1049,-1627,-3010,20387
282570597,-19,-193,1022,-6160,-1487,24412
282579141,-8,-189,997,-10018,-1365,28280
282587685,-1,-166,970,-13431,-1925,31928
282596022,-1,-166,970,-16537,-3902,34370
282596555,-12,-133,945,-16537,-3902,34370
282598547,-12,-133,945,-16537,-3902,34370
282604583,-12,-133,945,-17517,-6501,34982
282605116,-15,-103,928,-17517,-6501,34982
282613136,-15,-103,928,-16047,-9310,34177
282613669,-15,-71,916,-16047,-9310,34177
282621689,-15,-53,914,-12145,-12617,32550
282630234,-2,-49,945,-6352,-15522,30756
282638778,-28,-12,960,586,-17648,28385
282647322,24,-53,1076,2826,-20098,26276
282655867,20,-55,1129,7341,-15233,25926
282664203,20,-55,1129,14105,-8443,25348
282664737,20,-87,1154,14105,-8443,25348
