# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
250065582,-27,25,969,25716,-24963,-12670
250074126,-19,23,1023,28472,-25865,-13921
250076433,-19,23,1023,28472,-25865,-13921
250082678,-7,11,1065,31316,-24290,-15295
250091223,-1,15,1096,33477,-20667,-16467
250099768,-10,7,1091,32777,-17351,-18462
250108312,-2,-38,1048,31246,-15347,-20221
250116857,7,-72,963,30660,-14971,-18996
250125193,7,-72,963,30721,-18313,-16415
250125727,13,-75,904,30721,-18313,-16415
250133748,13,-75,904,30143,-24246,-13991
250134281,7,-64,920,30143,-24246,-13991
250142302,7,-64,920,27300,-29102,-12600
250142836,-7,-43,994,27300,-29102,-12600
250150857,-7,-43,994,23861,-30511,-12075
250151390,-15,-49,1067,23861,-30511,-12075
250159411,-15,-49,1067,24333,-27991,-10657
250159944,0,-69,1112,24333,-27991,-10657
250167965,4,-55,1127,28402,-23257,-9161
250176509,2,-4,1112,29960,-18935,-8303
250177361,2,-4,1112,29960,-18935,-8303
250185021,5,27,1111,29190,-16108,-9695
250193566,23,16,1119,27256,-14726,-11173
250202110,46,2,1133,25576,-13825,-12687
250210655,55,-10,1155,24806,-13028,-13903
250219200,55,-33,1200,24736,-12197,-15417
250227743,55,-44,1244,22758,-10482,-16275
250236287,54,-48,1245,20090,-7962,-16388
250244831,45,-55,1255,16528,-5153,-15776
250253167,45,-55,1255,12626,-2415,-14630
250253701,49,-91,1265,12626,-2415,-14630
250261721,49,-91,1265,12066,1295,-11383
250262255,59,-119,1258,12066,1295,-11383
250270276,59,-119,1258,11313,4996,-8137
250270809,52,-92,1257,11313,4996,-8137
250278414,52,-92,1257,11313,4996,-8137
250278838,52,-92,1257,7043,8128,-6396
250279371,47,-82,1261,7043,8128,-6396
250287392,47,-82,1261,1601,10893,-4366
250287925,50,-87,1229,1601,10893,-4366
250295946,46,-64,1172,-1837,12285,-1067
250304491,34,-21,1145,-3552,11987,1715
250313035,20,30,1154,-4445,11672,2555
250321579,13,69,1168,-5757,13335,787
250330123,6,85,1152,-8627,15767,-1890
250338668,-2,77,1138,-10552,16843,-4707
250347212,-6,66,1151,-11042,17281,-6641
250355756,-13,64,1183,-10963,19197,-8260
250364301,-14,47,1180,-10062,23441,-9738
250372638,-14,47,1180,-7043,27562,-10386
250373171,-4,31,1146,-7043,27562,-10386
250379529,-4,31,1146,-7043,27562,-10386
250381200,-4,31,1146,-3937,30633,-11007
250381733,-1,25,1114,-3937,30633,-11007
250389754,-1,25,1114,-1732,32558,-11768
250390287,6,17,1077,-1732,32558,-11768
250398308,6,17,1077,-1321,32567,-12477
250398842,4,1,1035,-1321,32567,-12477
250406863,19,-25,1003,-988,30231,-12101
250415408,15,-50,1004,-113,27282,-11165
250423951,1,-51,1011,-1233,24955,-9905
250432495,-12,-38,1023,-5337,22837,-9423
250441039,-14,-49,1034,-11532,20903,-8881
250449582,-9,-78,1025,-14341,19460,-7612
250458126,-1,-78,1008,-13518,18865,-5547
250466671,-5,-43,988,-12932,18296,-4506
250475215,-17,-20,971,-14743,16415,-5302
250480433,-17,-20,971,-14743,16415,-5302
250483560,-17,-20,971,-18506,13343,-6431
250484093,-26,-7,969,-18506,13343,-6431
250492113,-26,-7,969,-21131,9800,-7595
250492646,-25,-7,973,-21131,9800,-7595
250500668,-25,-7,973,-21061,7927,-8671
250501201,-19,-13,990,-21061,7927,-8671
250509222,-19,-13,990,-18970,7341,-9563
250509755,-20,-9,1011,-18970,7341,-9563
250517776,-20,-9,1011,-16030,8295,-10613
250518309,-12,-22,1018,-16030,8295,-10613
250526330,-15,-30,1029,-13002,9380,-10893
250534875,-24,-35,1073,-11278,10237,-11418
250543419,-11,-53,1106,-10158,13335,-12827
250551963,-1,-81,1084,-9712,18252,-14140
250560508,3,-114,1014,-9152,21210,-13125
250569053,8,-121,970,-6877,21472,-10963
250577597,8,-91,970,-5871,20518,-9213
250581359,8,-91,970,-5871,20518,-9213
250586148,-1,-77,975,-7078,19635,-9458
250594693,3,-100,956,-7945,19293,-9108
250603029,3,-100,956,-7805,18226,-7516
250603562,-1,-95,947,-7805,18226,-7516
250611583,-1,-95,947,-7376,17167,-6422
250612116,-16,-84,950,-7376,17167,-6422
250620134,-16,-84,950,-6405,16756,-5101
250620667,-16,-86,956,-6405,16756,-5101
250628686,-16,-86,956,-5031,16843,-3430
250629220,-7,-94,953,-5031,16843,-3430
250637239,-7,-94,953,-3561,16686,-1470
250637773,-10,-96,942,-3561,16686,-1470
250645792,-10,-96,942,-3780,15951,-140
250646325,-23,-62,952,-3780,15951,-140
250654344,-34,-40,979,-7385,15041,-393
250662889,-38,-50,1006,-10841,14735,-1085
250671434,-42,-68,1011,-12101,15645,-1198
250679978,-35,-82,1009,-10946,16791,-140
250682493,-35,-82,1009,-10946,16791,-140
250688530,-26,-93,1007,-8347,17622,1338
250697075,-21,-93,1009,-5346,18287,3106
250705619,-30,-77,1019,-2791,18917,4462
250714163,-39,-62,1024,-1330,20238,4436
250722708,-32,-60,1008,-708,21665,3745
250731252,-30,-66,981,-1391,22120,3920
250739798,-30,-84,949,-1898,21008,5696
250748342,-31,-84,959,-1645,19302,8435
250756886,-39,-65,990,-4453,18611,10535
250765431,-44,-67,1014,-9100,18707,12022
250773975,-46,-57,1025,-14525,19468,13335
250782312,-46,-57,1025,-21043,19775,14262
250782845,-43,-39,1029,-21043,19775,14262
250783380,-43,-39,1029,-21043,19775,14262
250790910,-43,-39,1029,-26381,18978,14971
250791443,-51,-31,1040,-26381,18978,14971
250799464,-51,-31,1040,-27606,18812,15627
250799997,-52,-35,1067,-27606,18812,15627
250808016,-52,-35,1067,-25707,20597,15872
250808549,-49,-22,1081,-25707,20597,15872
250816570,-59,3,1077,-23590,22732,15330
250825115,-68,-2,1065,-21358,24158,14000
250833659,-72,-16,1044,-17255,25567,13072
250842203,-69,-15,1016,-13011,26783,12232
250850748,-68,-24,972,-10946,26906,10753
250859292,-78,-43,964,-10815,24657,9668
