# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
145180771,-542,569,656,-19573,34177,-13387
145189313,-569,560,660,-18488,22452,-12915
145197857,-587,554,707,-14673,14901,-13055
145206193,-587,554,707,-13107,13545,-10727
145206726,-563,474,778,-13107,13545,-10727
145214745,-563,474,778,-9178,18751,-4978
145215278,-589,413,782,-9178,18751,-4978
145223299,-589,413,782,-8216,23240,-787
145223832,-599,374,752,-8216,23240,-787
145231850,-599,374,752,-7813,28122,4707
145232383,-606,315,755,-7813,28122,4707
145238533,-606,315,755,-7813,28122,4707
145240412,-637,339,767,-5862,33932,12871
145248955,-665,408,715,-8750,35910,17053
145257499,-636,444,744,-11226,33836,21157
145266043,-617,519,784,-16117,31211,25891
145274379,-617,519,784,-19390,29531,28498
145274912,-558,530,816,-19390,29531,28498
145282932,-558,530,816,-18270,31053,33976
145283465,-497,477,825,-18270,31053,33976
145291486,-497,477,825,-15968,30975,37747
145292018,-463,432,746,-15968,30975,37747
145300038,-463,432,746,-9931,27405,46646
145300571,-446,389,756,-9931,27405,46646
145308592,-531,493,725,-10158,22557,46812
145317135,-515,562,742,-8995,18086,37467
145325679,-445,555,783,-11436,16161,28262
145334222,-407,512,770,-14306,16572,23712
145339440,-407,512,770,-14306,16572,23712
145342566,-407,512,770,-12888,15391,21980
145343099,-411,465,708,-12888,15391,21980
145351119,-411,465,708,-7840,10902,22198
145351652,-390,449,682,-7840,10902,22198
145359671,-390,449,682,-5346,5110,21673
145360204,-402,464,673,-5346,5110,21673
145368223,-404,518,668,-5355,-3246,17666
145376767,-367,560,684,-5801,-10281,12635
145385311,-338,551,693,-7000,-15408,8610
145393855,-349,594,738,-5845,-16686,4042
145402398,-291,552,701,-306,-16030,-3403
145410734,-291,552,701,1321,-17718,-6842
145411267,-235,563,665,1321,-17718,-6842
145419288,-235,563,665,3106,-22575,-11856
145419821,-259,549,614,3106,-22575,-11856
145427843,-259,549,614,4060,-29470,-18532
145428376,-266,544,573,4060,-29470,-18532
145436396,-266,544,573,5320,-38500,-25926
145436929,-262,582,561,5320,-38500,-25926
145440375,-262,582,561,5320,-38500,-25926
145444957,-282,555,540,1365,-47442,-33678
145453501,-327,545,546,-2222,-56297,-42717
145462045,-365,448,600,-3893,-60208,-51126
145470588,-395,403,639,-7035,-59001,-53611
145479132,-404,351,705,-11462,-54547,-50942
145487468,-404,351,705,-17718,-49078,-45640
145488001,-448,376,694,-17718,-49078,-45640
145496022,-448,376,694,-27291,-55501,-44406
145496555,-506,413,595,-27291,-55501,-44406
145504576,-506,413,595,-26206,-69781,-47818
145505109,-512,403,553,-26206,-69781,-47818
145513126,-512,403,553,-13011,-76807,-48588
145513660,-431,297,744,-13011,-76807,-48588
145521679,-417,302,758,-7953,-70070,-41230
145530222,-425,392,731,-11173,-67760,-35665
145538766,-398,462,748,-18331,-65476,-35166
145541489,-398,462,748,-18331,-65476,-35166
145547318,-379,479,761,-21341,-63271,-39786
145555863,-398,461,806,-22391,-60558,-48947
145564199,-398,461,806,-21997,-57618,-56052
145564732,-418,399,835,-21997,-57618,-56052
145572752,-418,399,835,-20125,-54206,-57321
145573285,-441,307,845,-20125,-54206,-57321
145581304,-441,307,845,-18270,-49980,-54582
145581837,-462,278,870,-18270,-49980,-54582
145589858,-473,277,878,-17867,-45850,-51301
145598402,-475,278,882,-17885,-41475,-49910
145606945,-472,270,871,-17745,-37073,-49035
145615489,-455,260,838,-17710,-35262,-46961
145624033,-445,291,839,-18007,-36128,-46296
145632577,-423,305,860,-18646,-36067,-47643
145640913,-423,305,860,-17071,-35910,-49866
145641446,-401,292,832,-17071,-35910,-49866
145642397,-401,292,832,-17071,-35910,-49866
145649473,-401,292,832,-12722,-38150,-51633
145650006,-386,270,794,-12722,-38150,-51633
145658024,-386,270,794,-8636,-42096,-53970
145658557,-368,300,776,-8636,-42096,-53970
145666576,-346,338,772,-8417,-44677,-57968
145675119,-323,274,769,-11287,-45727,-59211
145683663,-357,234,800,-14682,-43767,-55291
145692207,-345,243,747,-15338,-43618,-55737
145700750,-293,235,697,-11007,-51905,-57155
145709294,-263,286,731,-6737,-64513,-58082
145717630,-263,286,731,-5136,-75250,-63936
145718163,-214,382,776,-5136,-75250,-63936
145726184,-214,382,776,-6265,-85575,-75775
145726717,-180,380,815,-6265,-85575,-75775
145734737,-180,380,815,-7533,-96101,-84700
145735270,-153,298,859,-7533,-96101,-84700
145743291,-153,298,859,-8067,-106522,-87771
145743825,-136,266,907,-8067,-106522,-87771
145751845,-120,265,982,-7385,-113417,-90702
145760390,-109,252,1044,-6536,-114966,-94465
145768933,-109,257,1068,-4847,-113820,-98490
145777477,-104,292,1079,-4042,-111685,-105498
145786021,-83,280,1085,-4856,-110530,-114248
145794565,-61,252,1101,-5495,-109060,-121852
145802900,-61,252,1101,-4655,-106951,-127776
145803433,-63,219,1097,-4655,-106951,-127776
145811454,-63,219,1097,-3543,-103188,-130725
145811987,-70,184,1084,-3543,-103188,-130725
145820007,-70,184,1084,-4121,-98595,-129683
145820540,-77,144,1033,-4121,-98595,-129683
